alpha,C_m_c/4
-18.25869263,0.058477364
-16.1891516,0.014214108
-14.18636996,-0.011522714
-12.31710709,-0.027172962
-10.0472879,-0.045273945
-8.244784423,-0.044925849
-6.041724618,-0.041972309
-3.972183588,-0.04241534
-1.969401947,-0.040343173
0.100139082,-0.038258114
2.102920723,-0.037028645
4.172461752,-0.034100889
6.175243394,-0.035399509
8.178025035,-0.035855433
10.24756606,-0.032927677
12.31710709,-0.027471832
14.31988873,-0.021186182
16.1891516,-0.015769014
18.3922114,-0.038096373
20.46175243,-0.105955134
